Previous,Anterior
"Save and Previous","Guardar e ir al Anterior"
"Save and Next","Guardar e ir al Siguiente"
Next,Siguiente
"Save Comment","Guardar Comentario"
"Delete Comment","Borrar Comentario"
"Edit Comment '%1'","Editar Comentario '%1'"
"Comment Details","Detalle del Comentario"
Review,Opinión
Product,Producto
"<a href=""%1"" onclick=""this.target='blank'"">%2 %3</a> <a href=""mailto:%4"">(%4)</a>","<a href=""%1"" onclick=""this.target='blank'"">%2 %3</a> <a href=""mailto:%4"">(%4)</a>"
"%1 <a href=""mailto:%2"">(%2)</a>","%1 <a href=""mailto:%2"">(%2)</a>"
Author,Autor
"Please confirm to mark this comment as Not Spam","Por favor confirme para etiquetar este comentario como No es Spam"
Spam,Spam
"Not Spam?","No es Spam?"
Status,Estatus
Nickname,Apodo
Comment,Comentario
ID,ID
Created,Creado
"Review Title","Título"
Type,Tipo
Action,Acción
Edit,Editar
Delete,Borrar
"Are you sure?","¿Está seguro?"
"Update Status","Actualizar Estatus"
Customer,Cliente
Guest,Invitado
"Review Details","Detalle de la Opinión"
Administrator,Administrador
"Summary Rating","Valoración Promedio"
"Detailed Rating","Valoración"
"Please confirm to mark this review as Not Spam","Por favor confirme para etiquetar esta opinión como No es Spam"
Visibility,Visibilidad
"Summary of Review","Summary of Review"
Title,"Título"
SKU,SKU
"Knowledge Base","Documentación"
"This feature is not available in the Lite package.","Esta opción no está disponible en el paquete Lite."
"Upgrade to Pro","Actualiza a Pro"
"Most helpful first","Más útiles primero"
"Most recent first","Más nuevas primero"
"All stars","Todas las valoraciones"
"One star","Una estrella"
"Two stars","Dos estrellas"
"Three stars","Tres estrellas"
"Four stars","Cuatro estrellas"
"Five stars","Cinco estrellas"
"All reviewers","Todos los autores"
"Verified purchase only","Solamente compra verificada"
"The comment has been deleted.","El comentario ha sido borrado."
"Something went wrong while deleting this comment.","Ocurrió un error al tratar de borrar este comentario."
"Edit Comment","Editar Comentario"
"The comment has been marked as ""Not Spam"" and published.","El comentario ha sido etiquetado como ""No es Spam"" y ha sido publicado."
"Something went wrong while updating this comment.","Ocurrió un error al tratar de actualizar este comentario."
"Comments on Reviews","Comentarios de las Opiniones"
"Please select comment(s).","Por favor seleccione un comentario(s)."
"A total of %1 record(s) have been deleted.","Un total de %1 registro(s) ha(n) sido borrado(s)."
"Something went wrong while deleting these comment(s).","Ocurrió un error al tratar de borrar el (los) comentario(s)."
"A total of %1 record(s) have been updated.","Un total de %1 registro(s) ha(n) sido actualizado(s)."
"Something went wrong while updating these comment(s).","Ocurrió un error al tratar de actualizar estos comentarios."
"The comment was removed by another user or does not exist.","El comentario fue removido por otro usuario o no existe."
"You saved the comment.","Se ha guardado el comentario."
"The review has been marked as ""Not Spam"" and published.","La opinión ha sido etiquetada como ""No es Spam"" y publicada."
"Something went wrong while updating this review.","Ocurrió un error al tratar de actualizar esta opinión."
"Please select review(s).","Por favor seleccione una o más opiniones."
"Something went wrong while updating these review(s).","Ocurrió un error al tratar de actualizar estas opiniones."
"The review was removed by another user or does not exist.","La opinión fue removida por otro usuario o no existe."
"You saved the review.","Se ha guardado la opinión."
"Something went wrong while saving this review.","Ocurrió un error al tratar de guardar esta opinión."
"The test email has been sent","El correo de prueba ha sido enviado"
"Unable to post the comment.","No ha sido posible publicar el comentario."
"Thank you. Your comment has been submitted and is waiting for approval.","Gracias. Su comentario ha sido enviado y está en espera de aprobación."
"Thank you. Your comment has been published.","Gracias. Su comentario ha sido publicado."
"Something went wrong while saving your review.","Ocurrió un error al guardar su opinión."
"Invalid session. Please reload the page and try again.","Sesión inválida. Por favor recargue la página e intente de nuevo."
"Thank you! You submitted your review for moderation.","Gracias! Ha enviado su opinión y pronto sera revisada y publicada."
"Thank you! Your review has been published.","Gracias! Su opinión ha sido publicada."
"We can't post your review right now.","No ha sido posible recibir su opinión en este momento."
"Error during Akismet API Key verification.","Error durante la verificación del API Key de Akismet."
"The API Key is valid.","El API Key es válido."
"Please enter a valid API Key.","Por favor introduzca un API Key válido."
Approved,Aprobado
Pending,Pendiente
"Not Approved","No Aprobado"
"Please enter a nickname.","Por favor introduzca su apodo."
"Please enter a comment.","Por favor ingrese su comentario."
"Please enter your email.","Por favor introduzca su email."
"Most Expensive","Más Caro"
"Least Reviewed","Con Menos Opiniones"
"Please enter the email address","Por favor introduzca la dirección de email"
"Please enter a valid email address","Por favor introduzca una dirección de email válida"
"Error while sending the test email.","Error al enviar el email de prueba."
Loading...,Cargando...
"Version %1","Versión %1"
"%1 out of 5 stars","%1 de 5 estrellas"
"Click to see all %1 star reviews","Haga clic para ver todas las opiniones de %1 estrella(s)"
"See all %1 reviews","Ver las %1 opiniones"
"Be the first to review this product","Sea el primero en dejar una opinión para este producto"
"Post a comment","Enviar comentario"
as,como
"* Required Fields","* Campos Requeridos"
Email,Email
"Submit Comment","Enviar Comentario"
Sending...,Enviando...
Cancel,Cancelar
"Only registered users can write comments. Please, <a href=""%1"">Sign in</a> or <a href=""%2"">create an account</a>","Sólo usuarios registrados pueden comentar. Por favor, <a href=""%1"">Acceda</a> o <a href=""%2"">cree una cuenta</a>"
By,Por
on,el
"Hide comments","Ocultar comentarios"
"Submit Review","Enviar Opinión"
Close,Cerrar
"Try Again","Probar de Nuevo"
"You're reviewing:","Está opinando sobre:"
"Your Rating","Su Valoración"
"%1 %2","%1 %2"
Summary,Resumen
"Only registered users can write reviews. Please, <a href=""%1"">Sign in</a> or <a href=""%2"">create an account</a>","Sólo usuarios registrados pueden opinar. Por favor, <a href=""%1"">Acceda</a> o <a href=""%2"">cree una cuenta</a>"
Rating,Valoración
Reviews,Opiniones
"Add Your Review","Agregue su Opinión"
"Items %1 to %2 of %3 total","Artículos %1 al %2 de %3"
"%1 Item","%1 Artículo"
"%1 Item(s)","%1 Artículo(s)"
Page,Página
"You're currently reading page","Actualmente lee la página"
Show,Mostrar
"per page","por página"
"Ratings & reviews for","Opiniones y Valoraciones para"
"Write a customer review","Escriba una opinión"
"Thank you for posting a review!","Gracias por escribir su opinión!"
"We and all shoppers on %1 appreciate the time you took to share your experience with this item.","Nosotros y todos los clientes de %1 apreciamos el tiempo que se ha tomado para compartir su experiencia con este producto."
"%1 person found the following review helpful","%1 persona considera esta opinión útil"
"%1 people found the following review helpful","%1 personas consideran esta opinión útil"
"Verified Purchase","Compra Verificada"
"%1 Comment","%1 Comentario"
"%1 Comments","%1 Comentarios"
"Was this review helpful to you?","¿Esta opinión te ha parecido útil?"
Yes,Si
No,No
"Thank you for your feedback!","Gracias por tu opinión!"
"You already voted","Ya ha votado por esta opinión"
"Sorry, we failed to record your vote. Please try again","Lo sentimos, no hemos podido guardar su opinión. Por favor intente de nuevo"
"Sorry, no reviews match your current selections","Lo sentimos, no hemos encontrado opiniones para el filtro seleccionado"
"Try clearing or changing some filters.","Pruebe eliminando o cambiando algunos filtros."
"Show all reviews","Mostrar todas las opiniones"
"Rated %1 stars out of five stars","Valorado %1 de 5 estrellas"
reviews,opiniones
review,opinión
"Customer Reviews","Opiniones de Clientes"
"Most Helpful Customer Reviews","Opiniones Más Valoradas"
"There are no reviews yet","No hay opiniones aún"
"Back to Product Info","Regresar al Producto"
"Please review your recent purchase at %store_name","Por favor deje su opinión sobre su compra en %store_name"
"Hello %customer_name,","Hola %customer_name,"
"You've recently bought","Recientement has comprado"
"what do you think about it?","¿cuál es tu opinión acerca de este producto?"
"Click below to rate (1-5):","Haga click para valorar (1-5):"
Rate:,Valoración:
"Review Title:","Título:"
Review:,Opinión:
"Submit Your Review","Enviar su Opinión"
"We really appreciate your feedback and hope to see you again soon.","Tu opinión es muy importante para nosotros. Esperamos verte de nuevo muy pronto."
"Thank you from","Gracias de parte de"
"Too soon? If you have not received the product yet, please","¿Muy pronto? Si aún no has recibido el producto, por favor"
"contact us","contáctanos"
"New comment at %store_name","Nuevo comentario dejado en %store_name"
"A new comment for one of the reviews of %product_name has been received.","Se ha dejado un nuevo comentario para %product_name"
"Comment from","Comentado por"
"The status of this comment is: %status","El estatus de este comentario es: %status"
"Manage comment","Moderar comentarios"
"New review at %store_name","Nueva opinión dejada en %store_name"
"A new review for %product_name has been received.","Una nueva opinión para %product_name ha sido recibida."
"Review from","Opinión de"
"The status of this review is: %status","Es estatus de esta opinión es: %status"
"Manage review","Moderar opiniones"
